C1, 9.11, 29.23, 90.00, 47p, 0805
C2, 11.65, 29.23, 90.00, 47p, 0805
C3, 13.72, 15.18, 0.00, 100n, 0805
IC1, 11.43, 9.37, 270.00, 74HCT14D, SO14
